symbol,category,date,rolling_sharpe_12m
NVDA,Infrastructure,2023-12-01,2.69
NVDA,Infrastructure,2024-01-01,2.707
NVDA,Infrastructure,2024-02-01,2.752
NVDA,Infrastructure,2024-03-01,2.678
NVDA,Infrastructure,2024-04-01,2.524
NVDA,Infrastructure,2024-05-01,2.573
NVDA,Infrastructure,2024-06-01,2.589
NVDA,Infrastructure,2024-07-01,2.122
NVDA,Infrastructure,2024-08-01,2.029
NVDA,Infrastructure,2024-09-01,2.555
NVDA,Infrastructure,2024-10-01,3.172
NVDA,Infrastructure,2024-11-01,2.886
NVDA,Infrastructure,2024-12-01,2.549
NVDA,Infrastructure,2025-01-01,1.686
NVDA,Infrastructure,2025-02-01,1.35
NVDA,Infrastructure,2025-03-01,0.543
NVDA,Infrastructure,2025-04-01,0.683
NVDA,Infrastructure,2025-05-01,0.641
NVDA,Infrastructure,2025-06-01,0.729
NVDA,Infrastructure,2025-07-01,1.209
NVDA,Infrastructure,2025-08-01,1.084
NVDA,Infrastructure,2025-09-01,1.226
NVDA,Infrastructure,2025-10-01,1.208
NVDA,Infrastructure,2025-11-01,0.695
NVDA,Infrastructure,2025-12-01,0.905
NVDA,Infrastructure,2026-01-01,1.322
NVDA,Infrastructure,2026-02-01,0.974
NVDA,Infrastructure,2026-03-01,1.409
META,AI Builder,2023-12-01,3.708
META,AI Builder,2024-01-01,3.768
META,AI Builder,2024-02-01,3.545
META,AI Builder,2024-03-01,2.961
META,AI Builder,2024-04-01,1.807
META,AI Builder,2024-05-01,1.77
META,AI Builder,2024-06-01,1.76
META,AI Builder,2024-07-01,1.22
META,AI Builder,2024-08-01,1.805
META,AI Builder,2024-09-01,2.061
META,AI Builder,2024-10-01,2.013
META,AI Builder,2024-11-01,1.779
META,AI Builder,2024-12-01,1.59
META,AI Builder,2025-01-01,1.707
META,AI Builder,2025-02-01,1.116
META,AI Builder,2025-03-01,0.565
META,AI Builder,2025-04-01,0.833
META,AI Builder,2025-05-01,1.031
META,AI Builder,2025-06-01,1.159
META,AI Builder,2025-07-01,1.531
META,AI Builder,2025-08-01,1.083
META,AI Builder,2025-09-01,0.79
META,AI Builder,2025-10-01,0.429
META,AI Builder,2025-11-01,0.394
META,AI Builder,2025-12-01,0.392
META,AI Builder,2026-01-01,0.154
META,AI Builder,2026-02-01,-0.042
META,AI Builder,2026-03-01,0.02
GOOGL,AI Builder,2023-12-01,1.659
GOOGL,AI Builder,2024-01-01,1.292
GOOGL,AI Builder,2024-02-01,1.768
GOOGL,AI Builder,2024-03-01,1.688
GOOGL,AI Builder,2024-04-01,1.852
GOOGL,AI Builder,2024-05-01,1.708
GOOGL,AI Builder,2024-06-01,2.252
GOOGL,AI Builder,2024-07-01,1.292
GOOGL,AI Builder,2024-08-01,0.829
GOOGL,AI Builder,2024-09-01,1.163
GOOGL,AI Builder,2024-10-01,1.793
GOOGL,AI Builder,2024-11-01,1.324
GOOGL,AI Builder,2024-12-01,1.495
GOOGL,AI Builder,2025-01-01,1.848
GOOGL,AI Builder,2025-02-01,0.752
GOOGL,AI Builder,2025-03-01,0.095
GOOGL,AI Builder,2025-04-01,-0.083
GOOGL,AI Builder,2025-05-01,-0.005
GOOGL,AI Builder,2025-06-01,-0.112
GOOGL,AI Builder,2025-07-01,0.408
GOOGL,AI Builder,2025-08-01,0.936
GOOGL,AI Builder,2025-09-01,1.276
GOOGL,AI Builder,2025-10-01,1.562
GOOGL,AI Builder,2025-11-01,1.985
GOOGL,AI Builder,2025-12-01,1.555
GOOGL,AI Builder,2026-01-01,1.559
GOOGL,AI Builder,2026-02-01,2.142
GOOGL,AI Builder,2026-03-01,2.255
MSFT,AI Integrator,2023-12-01,2.165
MSFT,AI Integrator,2024-01-01,2.276
MSFT,AI Integrator,2024-02-01,2.485
MSFT,AI Integrator,2024-03-01,2.256
MSFT,AI Integrator,2024-04-01,1.18
MSFT,AI Integrator,2024-05-01,1.171
MSFT,AI Integrator,2024-06-01,1.324
MSFT,AI Integrator,2024-07-01,0.984
MSFT,AI Integrator,2024-08-01,1.105
MSFT,AI Integrator,2024-09-01,1.497
MSFT,AI Integrator,2024-10-01,0.822
MSFT,AI Integrator,2024-11-01,0.521
MSFT,AI Integrator,2024-12-01,0.538
MSFT,AI Integrator,2025-01-01,0.141
MSFT,AI Integrator,2025-02-01,-0.335
MSFT,AI Integrator,2025-03-01,-0.718
MSFT,AI Integrator,2025-04-01,-0.018
MSFT,AI Integrator,2025-05-01,0.41
MSFT,AI Integrator,2025-06-01,0.424
MSFT,AI Integrator,2025-07-01,1.046
MSFT,AI Integrator,2025-08-01,0.798
MSFT,AI Integrator,2025-09-01,0.759
MSFT,AI Integrator,2025-10-01,1.051
MSFT,AI Integrator,2025-11-01,0.611
MSFT,AI Integrator,2025-12-01,0.554
MSFT,AI Integrator,2026-01-01,0.131
MSFT,AI Integrator,2026-02-01,-0.033
MSFT,AI Integrator,2026-03-01,-0.043
AMZN,AI Integrator,2023-12-01,2.021
AMZN,AI Integrator,2024-01-01,1.717
AMZN,AI Integrator,2024-02-01,2.96
AMZN,AI Integrator,2024-03-01,2.631
AMZN,AI Integrator,2024-04-01,2.246
AMZN,AI Integrator,2024-05-01,1.853
AMZN,AI Integrator,2024-06-01,1.884
AMZN,AI Integrator,2024-07-01,1.513
AMZN,AI Integrator,2024-08-01,1.08
AMZN,AI Integrator,2024-09-01,1.872
AMZN,AI Integrator,2024-10-01,1.616
AMZN,AI Integrator,2024-11-01,1.644
AMZN,AI Integrator,2024-12-01,1.708
AMZN,AI Integrator,2025-01-01,1.956
AMZN,AI Integrator,2025-02-01,0.744
AMZN,AI Integrator,2025-03-01,0.17
AMZN,AI Integrator,2025-04-01,0.167
AMZN,AI Integrator,2025-05-01,0.528
AMZN,AI Integrator,2025-06-01,0.448
AMZN,AI Integrator,2025-07-01,0.818
AMZN,AI Integrator,2025-08-01,0.923
AMZN,AI Integrator,2025-09-01,0.587
AMZN,AI Integrator,2025-10-01,0.947
AMZN,AI Integrator,2025-11-01,0.4
AMZN,AI Integrator,2025-12-01,0.164
AMZN,AI Integrator,2026-01-01,-0.007
AMZN,AI Integrator,2026-02-01,-0.064
AMZN,AI Integrator,2026-03-01,0.319
CRM,Legacy Tech,2023-12-01,1.735
CRM,Legacy Tech,2024-01-01,1.479
CRM,Legacy Tech,2024-02-01,1.852
CRM,Legacy Tech,2024-03-01,1.312
CRM,Legacy Tech,2024-04-01,0.92
CRM,Legacy Tech,2024-05-01,0.186
CRM,Legacy Tech,2024-06-01,0.593
CRM,Legacy Tech,2024-07-01,0.438
CRM,Legacy Tech,2024-08-01,0.423
CRM,Legacy Tech,2024-09-01,0.907
CRM,Legacy Tech,2024-10-01,1.125
CRM,Legacy Tech,2024-11-01,0.964
CRM,Legacy Tech,2024-12-01,0.855
CRM,Legacy Tech,2025-01-01,0.708
CRM,Legacy Tech,2025-02-01,-0.092
CRM,Legacy Tech,2025-03-01,-0.321
CRM,Legacy Tech,2025-04-01,0.017
CRM,Legacy Tech,2025-05-01,0.465
CRM,Legacy Tech,2025-06-01,0.215
CRM,Legacy Tech,2025-07-01,-0.017
CRM,Legacy Tech,2025-08-01,0.035
CRM,Legacy Tech,2025-09-01,-0.595
CRM,Legacy Tech,2025-10-01,-0.434
CRM,Legacy Tech,2025-11-01,-1.534
CRM,Legacy Tech,2025-12-01,-0.769
CRM,Legacy Tech,2026-01-01,-1.31
CRM,Legacy Tech,2026-02-01,-1.214
CRM,Legacy Tech,2026-03-01,-1.067
ORCL,Legacy Tech,2023-12-01,0.944
ORCL,Legacy Tech,2024-01-01,0.877
ORCL,Legacy Tech,2024-02-01,0.923
ORCL,Legacy Tech,2024-03-01,1.083
ORCL,Legacy Tech,2024-04-01,0.644
ORCL,Legacy Tech,2024-05-01,0.388
ORCL,Legacy Tech,2024-06-01,0.578
ORCL,Legacy Tech,2024-07-01,0.588
ORCL,Legacy Tech,2024-08-01,0.546
ORCL,Legacy Tech,2024-09-01,1.455
ORCL,Legacy Tech,2024-10-01,1.487
ORCL,Legacy Tech,2024-11-01,1.44
ORCL,Legacy Tech,2024-12-01,1.413
ORCL,Legacy Tech,2025-01-01,1.3
ORCL,Legacy Tech,2025-02-01,1.215
ORCL,Legacy Tech,2025-03-01,0.374
ORCL,Legacy Tech,2025-04-01,0.665
ORCL,Legacy Tech,2025-05-01,0.977
ORCL,Legacy Tech,2025-06-01,1.09
ORCL,Legacy Tech,2025-07-01,1.435
ORCL,Legacy Tech,2025-08-01,1.112
ORCL,Legacy Tech,2025-09-01,1.155
ORCL,Legacy Tech,2025-10-01,1.036
ORCL,Legacy Tech,2025-11-01,0.359
ORCL,Legacy Tech,2025-12-01,0.476
ORCL,Legacy Tech,2026-01-01,0.164
ORCL,Legacy Tech,2026-02-01,0.011
ORCL,Legacy Tech,2026-03-01,0.297
ADBE,Legacy Tech,2023-12-01,1.703
ADBE,Legacy Tech,2024-01-01,1.535
ADBE,Legacy Tech,2024-02-01,1.706
ADBE,Legacy Tech,2024-03-01,0.856
ADBE,Legacy Tech,2024-04-01,0.635
ADBE,Legacy Tech,2024-05-01,0.217
ADBE,Legacy Tech,2024-06-01,0.396
ADBE,Legacy Tech,2024-07-01,0.075
ADBE,Legacy Tech,2024-08-01,0.121
ADBE,Legacy Tech,2024-09-01,0.092
ADBE,Legacy Tech,2024-10-01,-0.228
ADBE,Legacy Tech,2024-11-01,-0.441
ADBE,Legacy Tech,2024-12-01,-0.72
ADBE,Legacy Tech,2025-01-01,-0.869
ADBE,Legacy Tech,2025-02-01,-0.623
ADBE,Legacy Tech,2025-03-01,-0.681
ADBE,Legacy Tech,2025-04-01,-0.527
ADBE,Legacy Tech,2025-05-01,-0.119
ADBE,Legacy Tech,2025-06-01,-1.345
ADBE,Legacy Tech,2025-07-01,-1.58
ADBE,Legacy Tech,2025-08-01,-1.805
ADBE,Legacy Tech,2025-09-01,-1.52
ADBE,Legacy Tech,2025-10-01,-1.385
ADBE,Legacy Tech,2025-11-01,-2.168
ADBE,Legacy Tech,2025-12-01,-1.105
ADBE,Legacy Tech,2026-01-01,-1.474
ADBE,Legacy Tech,2026-02-01,-1.823
ADBE,Legacy Tech,2026-03-01,-1.718
AAPL,Control,2023-12-01,1.725
AAPL,Control,2024-01-01,1.063
AAPL,Control,2024-02-01,0.86
AAPL,Control,2024-03-01,0.115
AAPL,Control,2024-04-01,-0.059
AAPL,Control,2024-05-01,0.303
AAPL,Control,2024-06-01,0.307
AAPL,Control,2024-07-01,0.473
AAPL,Control,2024-08-01,0.806
AAPL,Control,2024-09-01,1.445
AAPL,Control,2024-10-01,1.269
AAPL,Control,2024-11-01,1.076
AAPL,Control,2024-12-01,1.272
AAPL,Control,2025-01-01,1.156
